"id";"name";"type_id";"latlng"
1;"TUIT";0;"41.34261,69.28624"
2;"TUIT";0;"41.34265,69.28607"
3;"TUIT";0;"41.33966,69.28684"
4;"TUIT";0;"41.33955,69.28615"
5;"Mechet Badamzar";0;"41.34015,69.29319"
6;"Mechet Badamzar";0;"41.34048,69.29379"
7;"Z-d Uzbekselmash";0;"41.3413,69.29879"
8;"Z-d Uzbekselmash";0;"41.34154,69.30044"
9;"Zoopark";0;"41.34330,69.30427"
10;"Zoopark";0;"41.34444,69.30932"
11;"Zoopark";0;"41.34486,69.30924"
12;"Botanicheskiy sad";0;"41.34795,69.31628"
13;"Botanicheskiy sad";0;"41.34871,69.31729"
14;"Kizilkurgan";0;"41.34917,69.31958"
15;"Kizilkurgan";0;"41.34996,69.32060"
16;"Abrazivniy kombinat";0;"41.35589,69.30916"
17;"Sanatoriy Chinabad";0;"41.35465,69.30404"
18;"Sanatoriy Chinabad";0;"41.35486,69.30397"
19;"Instrumentalniy zavod";0;"41.35367,69.29939"
20;"Instrumentalniy zavod";0;"41.35363,69.29860"
21;"Darbazakent";0;"41.35175,69.29338"
22;"Darbazakent";0;"41.35111,69.29276"
23;"Shahristan";0;"41.35117,69.28861"
24;"Shahristan";0;"41.35094,69.28748"
